A,S,Axial position relative to HFIR midplane (mm),R,Radial distance to HFIR centerline (mm),A,S,Axial position relative to HFIR midplane (mm),R,Radial distance to HFIR centerline (mm)
3,6,254.611,1,401.32,3,6,276.611,1,260.38888
3,5,230.111,2,387.505,3,5,252.111,2,260.38888
3,4,205.611,3,387.505,3,4,227.611,3,277.946399
3,3,181.111,,,3,3,203.111,4,288.7
3,2,156.611,,,3,2,178.611,5,277.946399
3,1,132.111,,,3,1,154.111,,
2,6,54.65,,,2,6,76.65,,
2,5,30.15,,,2,5,52.15,,
2,4,5.65,,,2,4,27.65,,
2,3,-18.85,,,2,3,3.15,,
2,2,-43.35,,,2,2,-21.35,,
2,1,-67.85,,,2,1,-45.85,,
1,6,-145.3115,,,1,6,-123.3115,,
1,5,-169.8115,,,1,5,-147.8115,,
1,4,-194.3115,,,1,4,-172.3115,,
1,3,-218.8115,,,1,3,-196.8115,,
1,2,-243.3115,,,1,2,-221.3115,,
1,1,-267.8115,,,1,1,-245.8115,,
