U%,Density,Thermal_Conductivity,IV,Digit1,Digit2,Digit3,N_U_235,0,1,3,5,10,15,20,22,24,26,26.001,27,29,31,36,41,46,48,50,52,52.001,53,55,57,62,67,72,74,76,78,78.001,79,81,83,88,93,98,100,102,104,104.001,105,107,109,114,119,124,126,128,130,130.001,131,133,135,140,145,150,152,154,156,156.001,157,159,161,166,171,176,178,180,182,182.001,183,185,187,192,197,202,204,206,208,208.001,209,211,213,218,223,228,230,232,234,234.001,235,237,239,244,249,254,256,258,260,260.001,261,263,265,270,275,280,282,284,286,286.001,287,289,291,296,301,306,308,310,312,312.001,313,315,317,322,327,332,334,336,338,338.001,339,341,343,348,353,358,360,362,364,364.001,365,367,369,374,379,384,386,388,390,390.001,391,393,395,400,405,410,412,414,416
0.71,10920.00,2.90,2.00,1.00,3.00,6.00,175000000000000000000.00,30.91,34.99,35.29,35.24,35.90,38.10,41.36,42.58,44.76,46.92,33.56,37.18,37.58,37.54,38.39,39.81,42.59,44.38,46.38,48.44,34.60,38.62,38.49,38.27,39.21,40.61,43.70,45.08,47.50,49.85,35.35,39.48,39.32,39.28,39.29,40.76,43.72,45.10,47.50,49.28,35.52,39.04,39.20,39.03,39.65,41.47,43.83,45.67,47.58,50.08,35.15,39.85,39.45,39.45,39.49,41.36,43.41,44.88,47.23,49.04,35.15,39.85,39.45,39.45,39.49,41.36,43.41,44.88,47.23,49.04,35.15,39.85,39.45,39.45,39.49,41.36,43.41,44.88,47.23,49.04,35.15,39.85,39.45,39.45,39.49,41.36,43.41,44.88,47.23,49.04,35.15,39.85,39.45,39.45,39.49,41.36,43.41,44.88,47.23,49.04,35.15,39.85,39.45,39.45,39.49,41.36,43.41,44.88,47.23,49.04,35.15,39.85,39.45,39.45,39.49,41.36,43.41,44.88,47.23,49.04,35.15,39.85,39.45,39.45,39.49,41.36,43.41,44.88,47.23,49.04,35.15,39.85,39.45,39.45,39.49,41.36,43.41,44.88,47.23,49.04,35.15,39.85,39.45,39.45,39.49,41.36,43.41,44.88,47.23,49.04,35.15,39.85,39.45,39.45,39.49,41.36,43.41,44.88,47.23,49.04
0.71,10920.00,2.90,2.00,1.00,3.00,5.00,175000000000000000000.00,35.05,39.64,40.28,39.91,41.24,43.98,47.88,48.68,51.41,53.59,38.67,43.52,44.35,44.07,44.76,46.46,50.10,51.97,53.62,56.69,40.57,45.92,45.39,45.30,46.05,47.93,51.25,53.04,56.28,58.10,41.83,46.94,46.95,46.21,47.13,48.66,52.03,53.92,55.64,58.32,42.20,48.12,46.89,47.32,47.67,48.96,52.45,54.08,55.74,58.27,42.16,47.09,47.40,47.01,47.24,48.53,52.20,53.76,56.07,58.43,42.16,47.09,47.40,47.01,47.24,48.53,52.20,53.76,56.07,58.43,42.16,47.09,47.40,47.01,47.24,48.53,52.20,53.76,56.07,58.43,42.16,47.09,47.40,47.01,47.24,48.53,52.20,53.76,56.07,58.43,42.16,47.09,47.40,47.01,47.24,48.53,52.20,53.76,56.07,58.43,42.16,47.09,47.40,47.01,47.24,48.53,52.20,53.76,56.07,58.43,42.16,47.09,47.40,47.01,47.24,48.53,52.20,53.76,56.07,58.43,42.16,47.09,47.40,47.01,47.24,48.53,52.20,53.76,56.07,58.43,42.16,47.09,47.40,47.01,47.24,48.53,52.20,53.76,56.07,58.43,42.16,47.09,47.40,47.01,47.24,48.53,52.20,53.76,56.07,58.43,42.16,47.09,47.40,47.01,47.24,48.53,52.20,53.76,56.07,58.43
0.71,10920.00,2.90,2.00,1.00,3.00,4.00,175000000000000000000.00,40.38,45.68,45.91,46.04,47.70,50.68,53.95,57.09,59.99,62.20,45.65,50.93,51.77,51.54,52.25,55.24,58.35,60.89,63.55,65.96,48.86,54.85,54.30,54.55,54.57,57.24,59.86,62.23,64.58,66.99,49.38,55.52,55.19,54.60,54.82,57.26,60.79,63.05,65.04,67.52,49.57,55.26,56.45,55.51,56.12,58.13,61.57,63.26,65.87,68.23,50.72,56.39,56.64,55.95,56.33,58.03,61.48,63.41,66.75,68.50,50.72,56.39,56.64,55.95,56.33,58.03,61.48,63.41,66.75,68.50,50.72,56.39,56.64,55.95,56.33,58.03,61.48,63.41,66.75,68.50,50.72,56.39,56.64,55.95,56.33,58.03,61.48,63.41,66.75,68.50,50.72,56.39,56.64,55.95,56.33,58.03,61.48,63.41,66.75,68.50,50.72,56.39,56.64,55.95,56.33,58.03,61.48,63.41,66.75,68.50,50.72,56.39,56.64,55.95,56.33,58.03,61.48,63.41,66.75,68.50,50.72,56.39,56.64,55.95,56.33,58.03,61.48,63.41,66.75,68.50,50.72,56.39,56.64,55.95,56.33,58.03,61.48,63.41,66.75,68.50,50.72,56.39,56.64,55.95,56.33,58.03,61.48,63.41,66.75,68.50,50.72,56.39,56.64,55.95,56.33,58.03,61.48,63.41,66.75,68.50
0.71,10920.00,2.90,2.00,1.00,3.00,3.00,175000000000000000000.00,45.40,52.15,51.99,52.42,54.33,57.26,62.29,64.57,67.75,69.56,52.35,59.01,59.07,58.85,59.38,62.82,66.79,68.67,71.57,73.46,55.53,62.38,62.06,61.21,61.65,64.50,68.20,71.12,73.51,75.50,57.17,64.14,63.67,62.66,63.88,65.87,69.75,72.43,74.09,76.97,57.64,64.93,64.42,63.81,64.70,66.75,69.89,72.16,75.30,76.83,57.76,65.07,64.32,64.43,64.11,66.25,70.03,72.73,75.35,77.35,57.76,65.07,64.32,64.43,64.11,66.25,70.03,72.73,75.35,77.35,57.76,65.07,64.32,64.43,64.11,66.25,70.03,72.73,75.35,77.35,57.76,65.07,64.32,64.43,64.11,66.25,70.03,72.73,75.35,77.35,57.76,65.07,64.32,64.43,64.11,66.25,70.03,72.73,75.35,77.35,57.76,65.07,64.32,64.43,64.11,66.25,70.03,72.73,75.35,77.35,57.76,65.07,64.32,64.43,64.11,66.25,70.03,72.73,75.35,77.35,57.76,65.07,64.32,64.43,64.11,66.25,70.03,72.73,75.35,77.35,57.76,65.07,64.32,64.43,64.11,66.25,70.03,72.73,75.35,77.35,57.76,65.07,64.32,64.43,64.11,66.25,70.03,72.73,75.35,77.35,57.76,65.07,64.32,64.43,64.11,66.25,70.03,72.73,75.35,77.35
0.71,10920.00,2.90,2.00,1.00,3.00,2.00,175000000000000000000.00,50.55,59.18,58.21,58.70,60.92,65.21,70.15,72.35,75.09,77.65,59.03,67.60,67.27,66.45,67.05,71.65,75.94,78.28,80.36,82.55,63.28,71.31,70.42,70.02,71.37,73.79,77.41,80.34,82.14,84.20,64.45,72.52,72.36,72.14,72.80,74.28,77.77,81.24,84.00,84.88,65.63,73.67,73.51,72.38,72.69,75.22,79.61,81.37,83.34,86.25,66.22,73.49,73.80,73.44,73.34,75.44,79.46,81.57,84.31,86.01,66.22,73.49,73.80,73.44,73.34,75.44,79.46,81.57,84.31,86.01,66.22,73.49,73.80,73.44,73.34,75.44,79.46,81.57,84.31,86.01,66.22,73.49,73.80,73.44,73.34,75.44,79.46,81.57,84.31,86.01,66.22,73.49,73.80,73.44,73.34,75.44,79.46,81.57,84.31,86.01,66.22,73.49,73.80,73.44,73.34,75.44,79.46,81.57,84.31,86.01,66.22,73.49,73.80,73.44,73.34,75.44,79.46,81.57,84.31,86.01,66.22,73.49,73.80,73.44,73.34,75.44,79.46,81.57,84.31,86.01,66.22,73.49,73.80,73.44,73.34,75.44,79.46,81.57,84.31,86.01,66.22,73.49,73.80,73.44,73.34,75.44,79.46,81.57,84.31,86.01,66.22,73.49,73.80,73.44,73.34,75.44,79.46,81.57,84.31,86.01
0.71,10920.00,2.90,2.00,1.00,3.00,1.00,175000000000000000000.00,57.89,66.01,66.27,66.63,69.25,74.71,79.69,82.76,85.56,88.38,68.83,78.07,77.43,76.42,77.84,80.66,85.56,87.10,90.33,91.95,72.16,81.32,80.41,79.12,80.35,82.66,87.60,88.89,91.52,93.52,73.09,81.61,82.17,80.64,81.15,84.05,88.08,89.96,91.75,93.76,73.48,82.85,82.01,81.68,81.44,84.11,88.01,89.44,91.62,94.31,73.44,82.63,81.64,81.34,82.13,84.44,88.12,89.35,91.15,93.90,73.44,82.63,81.64,81.34,82.13,84.44,88.12,89.35,91.15,93.90,73.44,82.63,81.64,81.34,82.13,84.44,88.12,89.35,91.15,93.90,73.44,82.63,81.64,81.34,82.13,84.44,88.12,89.35,91.15,93.90,73.44,82.63,81.64,81.34,82.13,84.44,88.12,89.35,91.15,93.90,73.44,82.63,81.64,81.34,82.13,84.44,88.12,89.35,91.15,93.90,73.44,82.63,81.64,81.34,82.13,84.44,88.12,89.35,91.15,93.90,73.44,82.63,81.64,81.34,82.13,84.44,88.12,89.35,91.15,93.90,73.44,82.63,81.64,81.34,82.13,84.44,88.12,89.35,91.15,93.90,73.44,82.63,81.64,81.34,82.13,84.44,88.12,89.35,91.15,93.90,73.44,82.63,81.64,81.34,82.13,84.44,88.12,89.35,91.15,93.90
0.71,10920.00,2.90,2.00,1.00,2.00,6.00,175000000000000000000.00,68.16,79.03,79.94,79.84,83.04,89.26,94.39,97.53,98.84,100.40,84.33,95.89,93.78,93.98,93.95,97.68,101.66,104.21,105.27,107.32,88.64,100.21,99.15,97.39,97.83,100.91,104.46,106.72,107.56,109.02,89.14,101.54,100.87,98.91,99.27,101.76,105.73,106.94,108.16,108.55,90.35,101.89,100.86,99.24,99.64,102.30,105.69,107.76,109.07,109.33,91.02,102.91,101.41,100.36,99.34,102.24,106.03,106.37,109.07,109.31,91.02,102.91,101.41,100.36,99.34,102.24,106.03,106.37,109.07,109.31,91.02,102.91,101.41,100.36,99.34,102.24,106.03,106.37,109.07,109.31,91.02,102.91,101.41,100.36,99.34,102.24,106.03,106.37,109.07,109.31,91.02,102.91,101.41,100.36,99.34,102.24,106.03,106.37,109.07,109.31,91.02,102.91,101.41,100.36,99.34,102.24,106.03,106.37,109.07,109.31,91.02,102.91,101.41,100.36,99.34,102.24,106.03,106.37,109.07,109.31,91.02,102.91,101.41,100.36,99.34,102.24,106.03,106.37,109.07,109.31,91.02,102.91,101.41,100.36,99.34,102.24,106.03,106.37,109.07,109.31,91.02,102.91,101.41,100.36,99.34,102.24,106.03,106.37,109.07,109.31,91.02,102.91,101.41,100.36,99.34,102.24,106.03,106.37,109.07,109.31
0.71,10920.00,2.90,2.00,1.00,2.00,5.00,175000000000000000000.00,69.28,80.73,80.48,81.56,85.29,90.57,95.65,98.53,100.92,102.29,84.79,97.47,96.15,96.33,96.26,99.71,104.68,106.46,108.16,108.80,91.33,102.80,102.15,101.07,100.33,103.94,107.33,109.02,109.75,110.56,92.91,103.82,102.98,101.87,101.70,104.05,107.36,108.04,109.83,110.35,92.46,104.37,103.63,101.35,101.30,104.53,108.49,109.37,110.16,111.29,92.36,104.64,103.68,102.26,102.53,104.96,108.37,109.30,110.98,111.37,92.36,104.64,103.68,102.26,102.53,104.96,108.37,109.30,110.98,111.37,92.36,104.64,103.68,102.26,102.53,104.96,108.37,109.30,110.98,111.37,92.36,104.64,103.68,102.26,102.53,104.96,108.37,109.30,110.98,111.37,92.36,104.64,103.68,102.26,102.53,104.96,108.37,109.30,110.98,111.37,92.36,104.64,103.68,102.26,102.53,104.96,108.37,109.30,110.98,111.37,92.36,104.64,103.68,102.26,102.53,104.96,108.37,109.30,110.98,111.37,92.36,104.64,103.68,102.26,102.53,104.96,108.37,109.30,110.98,111.37,92.36,104.64,103.68,102.26,102.53,104.96,108.37,109.30,110.98,111.37,92.36,104.64,103.68,102.26,102.53,104.96,108.37,109.30,110.98,111.37,92.36,104.64,103.68,102.26,102.53,104.96,108.37,109.30,110.98,111.37
0.71,10920.00,2.90,2.00,1.00,2.00,4.00,175000000000000000000.00,70.74,81.98,81.52,82.91,86.39,91.77,97.03,99.61,100.90,103.16,86.65,97.65,96.38,95.43,96.74,100.96,104.91,106.41,107.70,108.94,91.07,104.58,102.49,101.43,100.91,104.78,108.28,109.30,109.87,110.94,93.79,106.31,104.22,103.53,103.41,105.35,108.56,110.48,111.30,112.84,94.68,107.63,105.37,104.54,105.65,106.55,110.24,109.97,111.39,112.65,94.10,107.25,105.43,104.89,103.93,105.94,108.92,111.11,111.50,112.23,94.10,107.25,105.43,104.89,103.93,105.94,108.92,111.11,111.50,112.23,94.10,107.25,105.43,104.89,103.93,105.94,108.92,111.11,111.50,112.23,94.10,107.25,105.43,104.89,103.93,105.94,108.92,111.11,111.50,112.23,94.10,107.25,105.43,104.89,103.93,105.94,108.92,111.11,111.50,112.23,94.10,107.25,105.43,104.89,103.93,105.94,108.92,111.11,111.50,112.23,94.10,107.25,105.43,104.89,103.93,105.94,108.92,111.11,111.50,112.23,94.10,107.25,105.43,104.89,103.93,105.94,108.92,111.11,111.50,112.23,94.10,107.25,105.43,104.89,103.93,105.94,108.92,111.11,111.50,112.23,94.10,107.25,105.43,104.89,103.93,105.94,108.92,111.11,111.50,112.23,94.10,107.25,105.43,104.89,103.93,105.94,108.92,111.11,111.50,112.23
