U%,Density,Thermal_Conductivity,IV,Digit1,Digit2,Digit3,N_U_235,0,1,3,5,10,15,20,22,24,26,26,27,29,31,36,41,46,48,50,52,52,53,55,57,62,67,72,74,76,78,78,79,81,83,88,93,98,100,102,104,104,105,107,109,114,119,124,126,128,130,130,131,133,135,140,145,150,152,154,156,156,157,159,161,166,171,176,178,180,182,182,183,185,187,192,197,202,204,206,208,208,209,211,213,218,223,228,230,232,234
0.35,10920.00,2.90,1.00,1.00,3.00,6.00,86300000000000000000.00,18.93,20.88,21.84,22.49,25.78,29.20,37.39,43.56,53.04,62.65,31.08,34.82,35.26,35.78,36.67,41.30,52.97,60.56,68.55,83.53,38.60,43.29,43.34,44.77,46.38,50.96,63.38,71.79,79.43,97.14,47.51,49.38,52.18,50.23,51.78,57.18,75.48,80.76,91.45,110.80,49.81,54.41,55.09,55.79,56.74,64.22,76.80,88.89,97.78,117.21,49.81,54.41,55.09,55.79,56.74,64.22,76.80,88.89,97.78,117.21,49.81,54.41,55.09,55.79,56.74,64.22,76.80,88.89,97.78,117.21,49.81,54.41,55.09,55.79,56.74,64.22,76.80,88.89,97.78,117.21,49.81,54.41,55.09,55.79,56.74,64.22,76.80,88.89,97.78,117.21
0.35,10920.00,2.90,1.00,1.00,3.00,5.00,86300000000000000000.00,23.23,26.39,27.35,28.58,32.59,40.51,52.23,60.13,65.90,84.75,41.25,45.88,47.28,49.25,51.03,58.38,73.03,80.82,89.94,112.45,49.67,56.34,57.33,59.33,61.05,68.91,86.03,93.56,103.87,130.36,57.77,66.35,67.63,67.95,73.05,81.40,100.80,108.41,118.30,149.31,64.70,73.00,73.15,73.80,78.32,86.05,108.40,117.33,128.04,164.15,64.70,73.00,73.15,73.80,78.32,86.05,108.40,117.33,128.04,164.15,64.70,73.00,73.15,73.80,78.32,86.05,108.40,117.33,128.04,164.15,64.70,73.00,73.15,73.80,78.32,86.05,108.40,117.33,128.04,164.15,64.70,73.00,73.15,73.80,78.32,86.05,108.40,117.33,128.04,164.15
0.35,10920.00,2.90,1.00,1.00,3.00,4.00,86300000000000000000.00,27.07,32.61,34.61,37.12,43.23,54.11,68.17,76.35,85.59,111.55,50.59,60.61,61.43,63.48,70.25,81.69,96.55,107.08,119.92,152.35,65.27,77.20,79.60,81.89,87.43,99.71,117.86,127.74,141.75,179.79,77.02,93.19,93.53,94.07,100.55,115.38,135.04,142.88,159.05,199.91,83.70,98.07,100.76,103.70,108.40,120.77,141.43,153.10,169.02,214.62,83.70,98.07,100.76,103.70,108.40,120.77,141.43,153.10,169.02,214.62,83.70,98.07,100.76,103.70,108.40,120.77,141.43,153.10,169.02,214.62,83.70,98.07,100.76,103.70,108.40,120.77,141.43,153.10,169.02,214.62,83.70,98.07,100.76,103.70,108.40,120.77,141.43,153.10,169.02,214.62
0.35,10920.00,2.90,1.00,1.00,3.00,3.00,86300000000000000000.00,34.22,40.51,41.33,44.37,53.88,68.01,85.79,97.44,113.07,138.30,65.19,84.37,87.05,87.99,95.67,109.78,129.01,141.27,160.25,190.53,83.42,108.06,113.98,113.32,119.25,133.17,153.82,164.22,187.48,221.56,94.98,122.06,128.10,127.56,134.75,149.00,168.81,180.35,206.44,245.89,103.85,133.94,140.46,138.17,142.93,160.09,178.60,191.89,220.63,260.62,103.85,133.94,140.46,138.17,142.93,160.09,178.60,191.89,220.63,260.62,103.85,133.94,140.46,138.17,142.93,160.09,178.60,191.89,220.63,260.62,103.85,133.94,140.46,138.17,142.93,160.09,178.60,191.89,220.63,260.62,103.85,133.94,140.46,138.17,142.93,160.09,178.60,191.89,220.63,260.62
0.35,10920.00,2.90,1.00,1.00,3.00,2.00,86300000000000000000.00,36.28,46.91,49.44,54.14,69.26,86.14,112.48,129.40,148.08,173.95,82.75,112.35,111.08,115.36,121.41,138.13,160.54,177.58,202.41,223.79,104.15,141.85,143.92,144.44,152.00,162.12,189.21,208.35,235.89,258.05,114.89,155.36,159.46,157.40,167.37,178.09,204.25,225.05,252.12,278.40,121.89,168.02,168.85,170.93,175.80,190.48,217.23,238.09,263.15,292.53,121.89,168.02,168.85,170.93,175.80,190.48,217.23,238.09,263.15,292.53,121.89,168.02,168.85,170.93,175.80,190.48,217.23,238.09,263.15,292.53,121.89,168.02,168.85,170.93,175.80,190.48,217.23,238.09,263.15,292.53,121.89,168.02,168.85,170.93,175.80,190.48,217.23,238.09,263.15,292.53
0.35,10920.00,2.90,1.00,1.00,3.00,1.00,86300000000000000000.00,45.88,57.26,60.45,68.45,88.20,111.40,148.91,170.78,189.85,204.57,106.15,141.42,142.82,143.00,151.58,170.44,207.84,231.06,249.86,268.64,134.85,176.83,178.63,178.47,182.91,203.22,242.94,267.57,285.27,304.52,153.59,201.92,203.49,202.77,207.54,224.97,264.57,291.34,308.19,326.71,158.85,209.33,209.85,212.26,214.35,233.27,267.04,289.93,309.77,326.20,158.85,209.33,209.85,212.26,214.35,233.27,267.04,289.93,309.77,326.20,158.85,209.33,209.85,212.26,214.35,233.27,267.04,289.93,309.77,326.20,158.85,209.33,209.85,212.26,214.35,233.27,267.04,289.93,309.77,326.20,158.85,209.33,209.85,212.26,214.35,233.27,267.04,289.93,309.77,326.20
0.35,10920.00,2.90,1.00,1.00,2.00,6.00,86300000000000000000.00,61.85,84.39,92.59,104.86,144.77,188.16,227.51,240.99,252.90,265.46,183.21,239.48,240.78,241.81,258.60,286.90,315.49,322.40,327.36,336.17,220.19,288.37,290.72,287.75,300.11,326.08,343.99,354.65,357.65,355.88,229.87,304.72,310.39,306.76,317.93,337.95,356.72,364.24,368.66,367.24,233.59,311.40,312.99,312.11,320.43,344.60,358.87,369.37,374.42,371.23,233.59,311.40,312.99,312.11,320.43,344.60,358.87,369.37,374.42,371.23,233.59,311.40,312.99,312.11,320.43,344.60,358.87,369.37,374.42,371.23,233.59,311.40,312.99,312.11,320.43,344.60,358.87,369.37,374.42,371.23,233.59,311.40,312.99,312.11,320.43,344.60,358.87,369.37,374.42,371.23
0.35,10920.00,2.90,1.00,1.00,2.00,5.00,86300000000000000000.00,64.99,93.75,102.02,118.17,163.62,210.69,255.14,262.79,276.23,281.82,203.17,278.15,277.62,275.20,290.97,318.07,334.82,343.04,348.51,347.17,240.81,329.15,323.48,318.70,327.52,346.81,368.10,375.30,371.84,374.68,253.42,349.80,347.77,341.79,349.05,365.18,381.48,379.58,385.58,383.08,256.46,349.71,349.07,340.19,346.16,369.17,385.54,388.52,385.98,387.23,256.46,349.71,349.07,340.19,346.16,369.17,385.54,388.52,385.98,387.23,256.46,349.71,349.07,340.19,346.16,369.17,385.54,388.52,385.98,387.23,256.46,349.71,349.07,340.19,346.16,369.17,385.54,388.52,385.98,387.23,256.46,349.71,349.07,340.19,346.16,369.17,385.54,388.52,385.98,387.23
0.35,10920.00,2.90,1.00,1.00,2.00,4.00,86300000000000000000.00,73.26,100.62,110.04,126.46,171.53,222.07,263.00,275.67,288.71,292.64,220.46,297.32,297.22,291.88,301.22,321.43,341.30,351.59,354.50,354.33,257.72,350.88,342.27,336.15,340.89,356.71,376.32,377.95,381.82,378.49,274.32,370.08,363.16,354.13,360.55,373.89,383.02,387.89,387.20,385.29,283.97,379.36,370.58,362.32,362.97,374.28,385.52,389.58,393.89,388.16,283.97,379.36,370.58,362.32,362.97,374.28,385.52,389.58,393.89,388.16,283.97,379.36,370.58,362.32,362.97,374.28,385.52,389.58,393.89,388.16,283.97,379.36,370.58,362.32,362.97,374.28,385.52,389.58,393.89,388.16,283.97,379.36,370.58,362.32,362.97,374.28,385.52,389.58,393.89,388.16
